status	kind	module	declaration
A	theorem	UFF.Assumptions	no_hash_collision_resistance_claim
A	theorem	UFF.Assumptions	no_catalogue_correctness_claim
A	theorem	UFF.Assumptions	no_null_model_adequacy_claim
A	theorem	UFF.Assumptions	no_physical_truth_claim
A/R	theorem	UFF.Assurance	replay_preserves_external_scientific_judgement
A/R	theorem	UFF.Assurance	replay_promotion_does_not_lower_assurance
A/R	theorem	UFF.Assurance	replay_verified_is_not_ensemble_calibrated
A/R	theorem	UFF.Assurance	ensemble_calibrated_is_not_scientifically_defensible
A/R	theorem	UFF.Assurance	ensemble_calibrated_includes_replay
A/R	theorem	UFF.Identity	changed_claim_boundary_changes_identity
A/R	theorem	UFF.Identity	changed_frozen_recipe_changes_identity
A/R	theorem	UFF.Transaction	cancellation_produces_no_bundle
A/R	theorem	UFF.Transaction	cancelled_transaction_not_exportable
A/R	theorem	UFF.Observation	sonification_preserves_numerical_result
A/R	theorem	UFF.Observation	telemetry_has_zero_admission_authority
A/R	theorem	UFF.Manifest	sealing_does_not_modify_manifest_core
A/R	theorem	UFF.Manifest	manifest_digest_is_computed_from_core_only
A/R	theorem	UFF.Replay	deterministic_replay_same_inputs
A/R	theorem	UFF.Replay	changed_runtime_contract_changes_replay_identity
